id,retweet_count,favorite_count
846139713627017216,9617,29954
846042936437604353,2729,15420
845812042753855489,8283,28196
845677943972139009,4598,24345
845397057150107648,1702,7353
845306882940190720,5137,22535
845098359547420673,7314,0
844979544864018432,2433,13192
844973813909606400,3031,14529
844580511645339650,2976,15923
844223788422217728,2085,13215
843981021012017153,2830,14693
843856843873095681,4407,20781
843604394117681152,2617,16353
843235543001513987,5742,20818
842846295480000512,3481,14826
842765311967449089,1210,6516
842535590457499648,3368,17581
842163532590374912,5540,23679
842115215311396866,2895,13551
841833993020538882,14394,0
841680585030541313,7519,25019
841439858740625411,3519,12236
841320156043304961,5297,19219
841314665196081154,4455,15363
841077006473256960,5106,22186
840761248237133825,1688,0
840728873075638272,15408,0
840698636975636481,2,172
840696689258311684,932,11934
840632337062862849,1688,8726
840370681858686976,4375,15963
840268004936019968,5516,18700
839990271299457024,2184,13052
839549326359670784,7469,26660
839290600511926273,137,0
839239871831150596,6278,26348
838952994649550848,3856,19116
838921590096166913,1964,10831
838916489579200512,33,0
838831947270979586,10622,0
838561493054533637,1281,10680
838476387338051585,4581,21876
838201503651401729,9677,0
838150277551247360,318,1622
838085839343206401,1,136
838083903487373313,3003,17181
837820167694528512,7569,33180
837482249356513284,427,3760
837471256429613056,2181,12466
837110210464448512,2285,15640
836989968035819520,2230,12430
836753516572119041,4490,18876
836677758902222849,2150,12320
836648853927522308,535,0
836397794269200385,26589,0
836380477523124226,2892,14426
836260088725786625,4168,20798
836001077879255040,4126,18609
835685285446955009,7864,0
835574547218894849,3497,17385
835536468978302976,1632,0
835309094223372289,20257,0
835297930240217089,2900,16091
835264098648616962,1632,7535
835246439529840640,71,2055
835172783151792128,5579,25543
835152434251116546,2902,21825
834931633769889797,1573,10542
834786237630337024,5351,20957
834574053763584002,2440,13338
834477809192075265,10314,0
834458053273591808,1622,9404
834209720923721728,4603,20071
834167344700198914,3549,15466
834089966724603904,2068,9811
834086379323871233,2139,12765
833863086058651648,2332,13147
833826103416520705,3660,17711
833732339549220864,212,0
833722901757046785,3136,20405
833479644947025920,1977,14547
833124694597443584,4708,19764
832998151111966721,2125,12966
832769181346996225,38,0
832757312314028032,3514,16498
832682457690300417,2828,11618
832645525019123713,517,2864
832636094638288896,2700,15531
832397543355072512,2146,11721
832369877331693569,3096,16793
832273440279240704,2267,11101
832215909146226688,6040,0
832215726631055365,9055,0
832088576586297345,2,61
832040443403784192,9308,0
832032802820481025,4537,17488
831939777352105988,5960,23473
831926988323639298,34,329
831911600680497154,6313,26982
831670449226514432,1764,10221
831650051525054464,1869,6975
831552930092285952,2261,8790
